# Static lookup committed per brief s5.3/s6. Provenance: ITU-T E.212 allocations
# via the public mcc-mnc-table compilation (github.com/musalbas/mcc-mnc-table,
# scraped from mcc-mnc.com), fetched 2026-07-04. Factual allocation data.
# Where several networks share an MCC+MNC (MVNO aggregation codes), names are
# joined with ' / ' (first three kept).
mcc,mnc,operator_name
232,7,T-Mobile / Magenta
232,8,A1 Telekom
232,9,A1 Telekom
232,10,Hutchinson Drei
232,11,A1 Telekom
232,12,A1 Telekom
232,13,T-Mobile / Magenta
232,14,Hutchinson Drei
232,15,T-Mobile / Magenta
232,16,Hutchinson Drei
232,17,Mass Response Service
232,18,smartspace
232,19,Hutchinson Drei
232,20,Mtel
232,22,Plintron
232,23,T-Mobile / Magenta
232,24,Smartel Services
232,25,Holding Graz
232,26,LIWEST Mobil
232,27,Tismi
232,91,OBB Infrastruktur
232,299,ArgoNET / DIALOG telekom / Digital Privacy
232,999,Fix Line
234,0,BT Group
234,1,Vectone Mobile
234,2,O2
234,3,Jersey Airtel
234,4,FMS Solutions
234,7,Vodafone
234,8,BT OnePhone
234,9,Tismi
234,10,O2
234,11,O2
234,12,Network Rail
234,13,Network Rail
234,14,LINK Mobility
234,15,Vodafone
234,16,Talk Talk
234,17,FlexTel
234,18,Cloud9
234,19,TeleWare
234,20,3
234,22,Telesign Mobile
234,23,Icron Network
234,24,Greenfone
234,25,Truphone
234,26,Lycamobile
234,27,Tata Communications Ltd / Vodafone
234,28,Marathon Telecom
234,29,aql
234,30,T-Mobile
234,31,T-Mobile
234,32,T-Mobile
234,33,Orange
234,34,Orange
234,35,JSC Ingenicum
234,36,Sure Isle of Man
234,37,Synectiv
234,38,Virgin Mobile
234,39,Gamma Mobile
234,40,spusu
234,50,JT Mobile
234,51,now broadband
234,55,Sure Guernsey
234,56,NCSC
234,57,Sky
234,58,Manx Telecom Mobile
234,71,Home Office
234,72,Hanhaa Mobile
234,74,Pareteum
234,75,Mass Response Service GmbH
234,76,BT Group
234,77,Vodafone
234,78,Airwave
234,89,Vodafone
234,91,Vodafone
234,92,Vodafone
234,94,3
234,95,Network Rail
234,99,08Direct / 24Seven / ACE Call
234,998,Virgin Mobile
234,999,Fix Line
235,2,Everyth. Ev.wh.
238,1,TDC
238,2,Telenor
238,3,Syniverse Technologies
238,4,Nexcon.io
238,6,3
238,7,Mundio Mobile
238,8,Voxbone / Bandwidth
238,10,TDC
238,12,Lycamobile
238,13,Compatel
238,14,Monty Mobile
238,15,Net 1
238,16,Tismi
238,17,Gotanet
238,20,Telia
238,23,Banedanmark
238,25,Viahub
238,28,LINK Mobility
238,30,Pareteum / Telia
238,42,Greenwave
238,73,Onomondo
238,77,Telenor
238,88,Cobira
238,96,Telia
238,999,Fix Line
240,1,Telia
240,2,3
240,3,Net 1
240,4,Telenor
240,5,Tele2
240,6,Telenor
240,7,Tele2
240,8,Telenor
240,9,Com4
240,10,Spring Mobil AB
240,11,Com Hem
240,12,Lycamobile
240,13,A3
240,14,Tele2
240,15,Sierra Wireless Sweden AB
240,16,42 Telecom AB
240,17,Gotanet
240,18,Messit / Minicall
240,19,Vectone Mobile
240,20,Sierra Wireless
240,21,Trafikverket
240,22,EUtel
240,23,Infobip
240,24,Telenor
240,25,Monty Mobile
240,26,Twilio
240,27,Globetouch
240,28,LINK Mobility
240,29,MI Carrier Services
240,30,NextGen Mobile Ltd (CardBoardFish)
240,31,Rebtel
240,32,Compatel
240,33,Mobile Arts
240,35,42 Telecom
240,36,interactive digital media / IDM
240,37,Sinch
240,38,Voxbone / Bandwidth
240,39,Primlight
240,40,Netmore
240,42,Telenor Connexion
240,43,MobiWeb
240,44,Telenabler
240,45,Spirius
240,46,Viahub
240,47,Viatel
240,48,Tismi
240,63,Fink Telecom
240,999,Fix Line
242,1,Telenor
242,2,Telia / NetCom
242,3,Teletopia
242,4,Tele2
242,5,Network Norway / Altibox Mobil
242,6,ICE
242,7,Ventelo AS
242,8,TDC Mobil A/S / Telia / NetCom
242,9,Com4
242,10,Nkom
242,12,Telenor
242,14,ICE
242,15,eRate
242,16,Iristel
242,17,Ventelo AS
242,20,BANE NOR
242,21,BANE NOR
242,22,Altibox Mobil
242,23,Lycamobile
242,299,bigblu / Chilimobil / GlobalConnect
242,999,Fix Line
244,3,DNA
244,4,DNA
244,5,Elisa
244,6,Elisa
244,7,NSN
244,8,NSN
244,9,NSN
244,10,TDC Oy Finland
244,11,Viahub
244,12,DNA
244,13,DNA
244,14,Alcom
244,15,Telit
244,21,Elisa
244,24,Nord Connect
244,26,Compatel
244,32,Voxbone / Bandwidth
244,33,VIRVE
244,35,Ukko Mobile
244,36,Telia
244,37,Tismi
244,38,NSN
244,39,NSN
244,40,NSN
244,41,NSN
244,42,Viahub
244,43,Telavox
244,45,VIRVE
244,46,VIRVE
244,47,VIRVE
244,82,interactive digital media / IDM
244,91,Telia
244,299,Benemen / Cuuma / interactive digital media / IDM
246,1,Telia
246,2,Bite
246,3,Tele2
246,5,LTG
246,6,Mediafon
246,299,SkyCall / Teletel
247,1,LMT
247,2,Tele2
247,3,TRIATEL
247,4,Tet
247,5,Bite
247,6,SIA Rigatta
247,7,SIA Master Telecom
247,8,VENTA Mobile
247,9,XOmobile
247,10,LMT
247,299,Premium Numbers
248,1,Telia
248,2,Elisa
248,3,Tele2
248,4,TravelSim
248,13,Telia
250,1,MTS
250,2,Megafon
250,3,NCC
250,4,Sibchallenge
250,5,Tele2/ECC/Volgogr.
250,7,ZAO SMARTS
250,9,Skylink
250,10,DTC/Don Telecom
250,11,Yota
250,12,Tele2
250,13,Kuban GSM
250,15,ZAO SMARTS
250,16,NTC
250,17,UralTel
250,19,OJSC Altaysvyaz
250,20,Tele2 / Tele2/ECC/Volgogr.
250,28,BeeLine/VimpelCom
250,32,Win Mobile
250,33,SEVTELECOM
250,34,Krymtelecom
250,35,Motiv
250,39,UralTel
250,42,MTT
250,44,StavTelesot
250,48,Global Telecom
250,54,Letai Mobile
250,55,Glonass
250,57,Matrix Mobile
250,60,Volna Mobile
250,77,Glonass
250,92,Printelefone
250,93,Telecom XXL
250,99,Beeline / BeeLine/VimpelCom
250,299,A-Mobile / Antares / Aquafon
250,999,Fix Line
255,1,Vodafone
255,2,Kyivstar
255,3,Kyivstar / KyivStar
255,4,IT
255,5,Golden Telecom
255,6,lifecell
255,7,3Mob
255,21,PEOPLEnet
255,39,Golden Telecom
255,50,Vodafone
255,67,KyivStar
255,68,Kyivstar
255,99,Phoenix
257,1,MDC/Velcom / velcom A1
257,2,MTS
257,3,BelCel JV
257,4,life:)
259,1,Orange
259,2,Moldcell
259,3,Unite
259,4,Eventis Mobile
259,5,Unite
259,99,Unite
260,1,Plus
260,2,T-Mobile
260,3,Orange
260,4,Aero2
260,5,Orange
260,6,Play
260,7,Netia
260,8,e-Telko
260,9,Lycamobile
260,10,T-Mobile
260,11,NORDISK Polska / Plus
260,12,Cyfrowy Polsat
260,13,Move
260,14,Move / Telco Leaders
260,15,Aero2
260,16,Aero2 / Mobyland
260,17,Aero2 / Aero2 SP.
260,18,AMD Telecom
260,19,NetBalt
260,20,Tismi
260,22,Twilio
260,27,Ntel Solutions
260,32,Compatel
260,34,T-Mobile
260,35,PKP
260,36,Mundio Mobile Sp. z o.o.
260,38,CallFreedom Sp. z o.o.
260,39,Voxbone / Bandwidth
260,41,EZ Mobile
260,42,MobiWeb
260,45,Virgin Mobile
260,47,SMSHIGHWAY
260,48,Agile Telecom
260,49,Messagebird
260,90,Polska Spolka Gazownictwa
260,97,Politechnika Lodzka Uczelniane
260,98,Play
260,299,3S / Benemen / BSG
260,999,Fix Line
262,1,Telekom / T-mobile
262,2,Vodafone
262,3,Telefonica / E-Plus
262,4,Vodafone
262,5,Telefonica / E-Plus
262,6,Telekom / T-mobile
262,7,Telefonica / O2
262,8,Telefonica / O2
262,9,Vodafone
262,10,DB Netz
262,11,Telefonica / O2
262,12,Telefonica / E-Plus
262,13,Bundesamt für Ausrüstung Informationstechnik und Nutzung der Bundeswehr
262,14,Lebara
262,16,Telefonica / O2
262,17,Telefonica / E-Plus
262,20,Telefonica / E-Plus
262,21,Multiconnect
262,22,sipgate
262,23,1&1
262,24,TelcoVillage
262,33,sipgate
262,42,Vodafone
262,43,Lycamobile
262,77,Telefonica / E-Plus
262,78,Telekom / T-mobile
262,299,1&1 / Argon Networks / Multiconnect
262,999,Fix Line
266,1,Gibtel
266,6,CTS Mobile
266,9,eazi telecom
266,299,GibFibreSpeed
266,999,Fix Line
268,1,Vodafone
268,3,NOS
268,4,Lycamobile
268,6,MEO
268,7,NOS
268,8,MEO
268,80,MEO
268,91,Vodafone
268,93,NOS
268,299,NOWO / Oni
268,999,Fix Line
270,1,Post
270,5,Luxembourg Online
270,10,Blue Communications
270,77,Tango
270,81,e-LUX Mobile
270,99,Orange
270,299,Bouygues Telecom / Eltrona / MTX Connect
270,999,Fix Line
272,1,Vodafone
272,2,3
272,3,Meteor / eir mobile
272,4,Access Telecom Ltd.
272,5,3
272,7,Meteor / eir mobile
272,8,Meteor / eir mobile
272,11,Tesco Mobile
272,13,Lycamobile
272,15,Virgin Media
272,17,3
274,1,Siminn
274,2,Vodafone
274,3,Vodafone
274,4,Viking Wireless
274,5,Vodafone
274,7,IceCell
274,8,Siminn
274,9,Amitelo
274,11,NOVA
274,12,Vodafone
274,16,Tismi
274,31,Siminn
276,1,One / AMC
276,2,Vodafone
276,3,ALBtelecom Mobile / Eagle
276,4,PLUS Communication Sh.a
278,1,Vodafone
278,21,GO Mobile
278,30,GO Mobile
278,77,Melita
278,999,Fix Line
280,1,Cytamobile-Vodafone
280,2,Cytamobile-Vodafone
280,10,Epic / MTN
280,20,PrimeTel
280,22,Cablenet / Lemontel
280,999,Fix Line
282,1,Geocell
282,2,MagtiCom
282,3,Iberiatel Ltd.
282,4,Beeline
282,5,Silknet
282,7,GlobalCell
282,8,Silknet
282,10,Premium Net
282,11,Mobilive
282,12,Telecom 1
282,22,MyPhone
283,1,Beeline
283,4,KT
283,5,Viva-MTS
283,10,Orange
284,1,A1
284,3,Vivacom
284,5,Telenor
284,6,Vivacom
284,11,Bulsatcom
284,13,T.com
286,1,Turkcell
286,2,Vodafone
286,3,Avea
286,4,Avea
286,299,Asistan Telekom / BasakCell / Compatel
286,999,Fix Line
288,1,Faroese Telecom
288,2,Hey / Kall
288,3,Tosa
289,67,Aquafon
289,68,A-Mobile
289,88,A-Mobile
290,1,Tele Greenland
292,1,Prima
292,299,TeleneT
293,10,Slovenske zeleznice
293,20,Compatel
293,40,A1 / Si.mobil
293,41,Mobitel
293,64,T-2
293,70,Telemach / Tusmobil
293,86,Elektro Gorenjska
293,299,HOT mobil / Me2 / Novatel
293,999,Fix Line
294,1,Telekom
294,2,A1
294,3,A1 / VIP Mobile
294,4,Lycamobile
294,11,Mobik
294,75,A1
294,299,Failed Calls / LATRON / Telekabel
295,1,FL GSM
295,2,7acht
295,5,FL1
295,6,CUBIC
295,7,First Mobile AG
295,9,EMnify
295,77,Alpmobile/Tele2
295,299,Datamobile / Dimoco / SORACOM
297,1,Telenor
297,2,Telekom / T-mobile
297,3,Mtel
302,220,Telus Mobility
302,320,mobilicity
302,360,Clearnet
302,361,Clearnet
302,370,FIDO (Rogers AT&T/ Microcell)
302,380,DMTS Mobility
302,490,WIND
302,500,Videotron
302,610,Bell Mobility
302,630,Bell Aliant
302,640,Latitude Wireless
302,651,Bell Mobility
302,652,BC Tel Mobility
302,653,Telus Mobility
302,654,Sask Tel Mobility
302,655,MTS Mobility
302,656,Tbay Mobility
302,657,Quebectel Mobility
302,660,MTS Mobility
302,670,CityWest Mobility
302,680,Sask Tel Mobility
302,701,NB Tel Mobility
302,702,MT&T Mobility
302,703,New Tel Mobility
302,710,Globalstar Canada
302,720,Rogers AT&T Wireless
302,760,Public Mobile
302,780,Sask Tel Mobility
308,1,Ameris
310,3,Unknown
310,4,Verizon Wireless
310,6,Consolidated Telcom
310,10,Verizon Wireless
310,11,Northstar
310,12,Verizon Wireless
310,13,Verizon Wireless
310,14,Testing
310,15,Unknown
310,16,Leap Wireless International Inc.
310,20,Union Telephone Co.
310,23,Unknown
310,24,Unknown
310,25,Unknown
310,26,Unknown
310,31,T-Mobile
310,32,IT&E OverSeas
310,33,Guam Teleph. Auth.
310,34,Nevada Wireless LLC
310,38,USA 3650 AT&T
310,40,Matanuska Tel. Assn. Inc.
310,46,SIMMETRY
310,60,Consolidated Telcom
310,70,AT&T Wireless Inc.
310,90,Edge Wireless LLC
310,100,Plateau Telecommunications Inc.
310,120,Sprint Spectrum
310,130,North Carolina RSA 3 Cellular Tel. Co.
310,140,GTA Wireless
310,150,AT&T Wireless Inc.
310,160,T-Mobile
310,170,AT&T Wireless Inc.
310,180,Cingular Wireless
310,190,Unknown
310,200,T-Mobile
310,210,T-Mobile
310,220,T-Mobile
310,230,T-Mobile
310,240,T-Mobile
310,250,T-Mobile
310,260,T-Mobile
310,270,T-Mobile
310,280,T-Mobile
310,290,NEP Cellcorp Inc.
310,300,T-Mobile
310,310,T-Mobile
310,320,Smith Bagley Inc.
310,330,T-Mobile
310,340,Westlink Communications LLC
310,350,Mohave Cellular LP
310,360,Cellular Network Partnership LLC
310,370,Docomo
310,380,AT&T Wireless Inc.
310,390,Yorkville Telephone Cooperative
310,400,Minnesota South. Wirel. Co. / Hickory
310,410,AT&T Wireless Inc.
310,420,Cincinnati Bell Wireless LLC
310,430,GCI Communication Corp.
310,440,Dobson Cellular Systems
310,450,Northeast Colorado Cellular Inc.
310,460,TMP Corporation
310,470,Docomo
310,480,Choice Phone LLC
310,490,Triton PCS
310,500,Public Service Cellular Inc.
310,510,Airtel Wireless LLC
310,520,VeriSign
310,530,West Virginia Wireless
310,560,AT&T Wireless Inc.
310,570,MTPCS LLC
310,580,PCS ONE
310,590,Verizon Wireless
310,600,New-Cell Inc.
310,610,Elkhart TelCo. / Epic Touch Co.
310,620,Coleman County Telco /Trans TX
310,650,Jasper
310,660,T-Mobile
310,670,Northstar
310,680,AT&T Wireless Inc.
310,690,Keystone Wireless LLC
310,700,Cross Valliant Cellular Partnership
310,710,Arctic Slope Telephone Association Cooperative Inc.
310,730,United States Cellular Corp.
310,740,Telemetrix Inc.
310,750,East Kentucky Network LLC
310,760,Panhandle Telephone Cooperative Inc.
310,770,Iowa Wireless Services LLC
310,780,Message Express Co. / Airlink PCS
310,800,T-Mobile
310,830,Caprock Cellular Ltd.
310,850,Aeris Comm. Inc.
310,860,Texas RSA 15B2 Limited Partnership
310,870,Kaplan Telephone Company Inc.
310,890,Verizon Wireless
310,900,Cable & Communications Corp.
310,910,Verizon Wireless
310,920,Get Mobile Inc.
310,940,Poka Lambro Telco Ltd.
310,950,Unknown
310,960,Uintah Basin Electronics Telecommunications Inc.
310,980,AT&T Wireless Inc.
310,990,E.N.M.R. Telephone Coop.
310,999,Various Networks
311,10,Missouri RSA No 5 Partnership
311,20,Missouri RSA No 5 Partnership
311,50,Thumb Cellular Limited Partnership
311,70,Wisconsin RSA #7 Limited Partnership
311,110,Verizon Wireless
311,120,Choice Phone LLC
311,140,Cross Wireless Telephone Co.
311,170,PetroCom
311,220,United States Cellular Corp.
311,250,Wave Runner LLC
311,260,SLO Cellular Inc / Cellular One of San Luis
311,270,Verizon Wireless
311,271,Verizon Wireless
311,272,Verizon Wireless
311,273,Verizon Wireless
311,274,Verizon Wireless
311,275,Verizon Wireless
311,276,Verizon Wireless
311,277,Verizon Wireless
311,278,Verizon Wireless
311,279,Verizon Wireless
311,280,Verizon Wireless
311,281,Verizon Wireless
311,282,Verizon Wireless
311,283,Verizon Wireless
311,284,Verizon Wireless
311,285,Verizon Wireless
311,286,Verizon Wireless
311,287,Verizon Wireless
311,288,Verizon Wireless
311,289,Verizon Wireless
311,300,Nexus Communications Inc.
311,310,Lamar County Cellular
311,311,Farmers
311,330,Michigan Wireless LLC
311,340,Illinois Valley Cellular RSA 2 Partnership
311,350,Sagebrush Cellular Inc.
311,370,GCI Communication Corp.
311,390,Verizon Wireless
311,410,Iowa RSA No. 2 Limited Partnership
311,420,Northwest Missouri Cellular Limited Partnership
311,430,RSA 1 Limited Partnership
311,440,Bluegrass Wireless LLC
311,460,Fisher Wireless Services Inc.
311,480,Verizon Wireless
311,481,Verizon Wireless
311,482,Verizon Wireless
311,483,Verizon Wireless
311,484,Verizon Wireless
311,485,Verizon Wireless
311,486,Verizon Wireless
311,487,Verizon Wireless
311,488,Verizon Wireless
311,489,Verizon Wireless
311,490,Sprint Spectrum
311,500,Cambridge Telephone Company Inc.
311,590,California RSA No. 3 Limited Partnership
311,610,North Dakota Network Company
311,650,United Wireless Communications Inc.
311,670,Pine Belt Cellular Inc.
311,710,Northeast Wireless Networks LLC
311,800,Bluegrass Wireless LLC
311,810,Bluegrass Wireless LLC
311,830,Thumb Cellular Limited Partnership
311,860,Uintah Basin Electronics Telecommunications Inc.
311,870,Sprint Spectrum
311,880,Sprint Spectrum
311,920,Missouri RSA No 5 Partnership
312,10,Missouri RSA No 5 Partnership
312,30,Cross Wireless Telephone Co.
312,40,Custer Telephone Cooperative Inc.
312,90,Allied Wireless Communications Corporation
312,120,East Kentucky Network LLC
312,130,East Kentucky Network LLC
312,160,RSA 1 Limited Partnership
312,170,Iowa RSA No. 2 Limited Partnership
312,180,Keystone Wireless LLC
312,190,Sprint Spectrum
312,220,Missouri RSA No 5 Partnership
312,230,North Dakota Network Company
312,270,Cellular Network Partnership LLC
312,280,Cellular Network Partnership LLC
312,290,Uintah Basin Electronics Telecommunications Inc.
312,530,Sprint Spectrum
316,10,Sprint Spectrum
316,11,Southern Communications Services Inc.
330,11,Puerto Rico Telephone Company Inc. (PRTC)
330,110,Puerto Rico Telephone Company Inc. (PRTC)
334,1,NEXTEL
334,2,TelCel/America Movil
334,3,Movistar/Pegaso
334,4,AT&T/IUSACell
334,5,AT&T/IUSACell
334,9,NEXTEL
334,10,NEXTEL
334,20,TelCel/America Movil
334,30,Movistar/Pegaso
334,40,AT&T/IUSACell
334,50,AT&T/IUSACell
334,60,SAI PCS
334,70,Operadora Unefon SA de CV
334,80,Operadora Unefon SA de CV
334,90,NEXTEL
338,20,Cable & Wireless
338,50,DIGICEL/Mossel
338,110,Cable & Wireless
338,180,Cable & Wireless
340,1,Orange Caribe
340,2,Outremer Telecom
340,3,TelCell GSM
340,8,Dauphin Telecom SU (Guadeloupe Telecom)
340,11,TelCell GSM
340,12,UTS Caraibe
340,20,Bouygues/DigiCel
342,50,Digicel
342,299,Failed Calls / Ozone
342,600,Flow / Lime
342,750,Digicel
342,810,Cingular Wireless
342,820,Sunbeach
344,3,imobile / APUA
344,30,imobile / APUA
344,92,Flow
344,93,Digicel
344,920,Flow
344,930,Digicel
346,1,Logic
346,6,Digicel Ltd.
346,50,Digicel
346,140,Flow / Lime
348,170,LIME
348,570,Caribbean Cellular
348,770,Digicel
350,0,Bermuda Digital Communications Ltd (BDC) / One
350,1,Digicel / Telecommunications (Bermuda & West Indies) Ltd (Digicel Bermuda)
350,2,M3 Wireless Ltd
350,99,CellOne Ltd
350,299,Failed Calls
352,30,Digicel
352,50,Digicel
352,110,Cable & Wireless
354,860,Cable & Wireless
356,50,Digicel
356,70,UTS Cariglobe
356,110,Cable & Wireless
358,30,Cingular Wireless
358,50,Digicel (St Lucia) Limited
358,110,Cable & Wireless
360,10,Cingular
360,50,Digicel
360,70,Digicel
360,100,Cingular
360,110,C & W
362,51,TELCELL GSM
362,69,Polycom N.V./ Digicel
362,91,SETEL GSM
362,95,EOCG Wireless NV
362,630,Cingular Wireless
362,951,UTS Wireless
362,999,Fix Line
363,1,SETAR
363,2,Digicel
363,20,Digicel
363,299,MIO
364,3,Smart Communications
364,30,Cybercell / BaTelCo
364,39,Cybercell / BaTelCo
364,390,Cybercell / BaTelCo
364,490,Aliv
365,840,Flow
365,850,Digicel
366,20,Cingular Wireless/Digicel
366,50,Wireless Ventures (Dominica) Ltd (Digicel Dominica)
366,110,C & W
368,1,CubaCel/C-COM
368,999,Fix Line
370,1,Orange
370,2,Claro
370,3,TRIcom
370,4,Viva
372,1,Comcel
372,2,Digicel
372,3,Natcom
374,12,Bmobile/TSTT
374,120,Bmobile/TSTT
374,130,Digicel
374,140,LaqTel Ltd.
376,50,Digicel TCI Ltd / Digicel
376,350,Cable & Wireless (TCI) Ltd
376,352,IslandCom Communications Ltd.
400,1,Azercell
400,2,Bakcell
400,3,FONEX
400,4,Nar Mobile
400,6,Naxtel
401,1,Beeline/KaR-Tel LLP
401,2,K-Cell
401,7,Dalacom/Altel
401,77,Tele2/NEO/MTS
402,11,B-Mobile
402,17,Bhutan Telecom Ltd (BTL)
402,77,TashiCell
404,1,Aircel Digilink India
404,4,Idea Cellular Ltd.
404,5,Fascel
404,7,Idea Cellular Ltd.
404,9,Reliance Telecom Private
404,10,Bharti Airtel Limited (Delhi)
404,11,Sterling Cellular Ltd.
404,12,Escotel Mobile Communications
404,13,Barakhamba Sales & Serv.
404,14,Spice
404,15,Aircel Digilink India
404,16,Hexcom India
404,17,Aircel
404,18,Reliance Telecom Private
404,19,Escotel Mobile Communications
404,20,Unknown
404,22,Idea Cellular Ltd.
404,24,Idea Cellular Ltd.
404,25,Aircel
404,27,Unknown
404,28,Aircel
404,29,Aircel
404,30,Usha Martin Telecom
404,33,Aircel
404,34,BSNL
404,36,Reliance Telecom Private
404,38,BSNL
404,41,RPG Cellular
